number,value,datetime_start,datetime_complete,duration,params_atr_multiplier_stop,params_input_chunk_length,params_layer_widths,params_num_blocks,params_num_layers,params_prob_threshold,params_risk_per_trade,params_threshold_pct,params_use_vol_sizing,params_use_wavelet,user_attrs_metrics,state
16,-19.29909298772198,2025-08-20 20:14:26.748005,2025-08-20 20:20:13.756438,0 days 00:05:47.008433,2.5,72,128,3,4,0.95,0.005,0.01,False,False,"{'final_capital': 993.3629804177265, 'total_return_pct': -0.6637019582273473, 'ann_sharpe': -19.29909298772198, 'max_drawdown_pct': -0.640535005264839, 'num_executed': 30, 'win_rate': 0.13333333333333333, 'avg_pnl': -0.22123398607577874, 'profit_factor': 0.06971199152036126, 'avg_pnl_ci_l': -0.28413133866218404, 'avg_pnl_ci_u': -0.14521713824133733}",COMPLETE
26,-19.36883163563014,2025-08-20 21:11:13.378493,2025-08-20 21:14:07.855543,0 days 00:02:54.477050,2.5,72,64,2,3,0.95,0.005,0.002,True,True,"{'final_capital': 993.4251084254053, 'total_return_pct': -0.6574891574594788, 'ann_sharpe': -19.36883163563014, 'max_drawdown_pct': -0.6343207555637312, 'num_executed': 30, 'win_rate': 0.13333333333333333, 'avg_pnl': -0.21916305248648807, 'profit_factor': 0.06185969040245993, 'avg_pnl_ci_l': -0.2807234936004042, 'avg_pnl_ci_u': -0.1465282453824237}",COMPLETE
77,-19.37872811919032,2025-08-21 02:04:40.388417,2025-08-21 02:09:12.177743,0 days 00:04:31.789326,2.0,48,64,3,4,0.95,0.01,0.005,False,False,"{'final_capital': 994.2935214220045, 'total_return_pct': -0.5706478577995555, 'ann_sharpe': -19.37872811919032, 'max_drawdown_pct': -0.5474592030018597, 'num_executed': 30, 'win_rate': 0.13333333333333333, 'avg_pnl': -0.190215952599847, 'profit_factor': 0.0689949343695749, 'avg_pnl_ci_l': -0.2539352036344212, 'avg_pnl_ci_u': -0.1353518420669825}",COMPLETE
9,-19.493291170835796,2025-08-20 19:36:22.831557,2025-08-20 19:39:15.133369,0 days 00:02:52.301812,2.0,72,64,2,3,0.85,0.01,0.005,True,False,"{'final_capital': 993.0863441564311, 'total_return_pct': -0.6913655843568955, 'ann_sharpe': -19.493291170835796, 'max_drawdown_pct': -0.6682050830332839, 'num_executed': 30, 'win_rate': 0.13333333333333333, 'avg_pnl': -0.2304551947856252, 'profit_factor': 0.0671085692122621, 'avg_pnl_ci_l': -0.2883816582659081, 'avg_pnl_ci_u': -0.1658346014481255}",COMPLETE
37,-19.534007698647418,2025-08-20 22:06:11.924919,2025-08-20 22:11:48.117225,0 days 00:05:36.192306,1.5,48,128,3,4,0.95,0.01,0.002,False,False,"{'final_capital': 993.6483264663823, 'total_return_pct': -0.6351673533617763, 'ann_sharpe': -19.534007698647418, 'max_drawdown_pct': -0.6119937456329563, 'num_executed': 30, 'win_rate': 0.16666666666666666, 'avg_pnl': -0.2117224511205765, 'profit_factor': 0.06838561134594943, 'avg_pnl_ci_l': -0.26533858297784946, 'avg_pnl_ci_u': -0.15543715941335662}",COMPLETE
4,-19.738960623449575,2025-08-20 19:14:45.399454,2025-08-20 19:19:43.535674,0 days 00:04:58.136220,2.0,72,64,3,4,0.95,0.005,0.005,False,True,"{'final_capital': 993.8484740569138, 'total_return_pct': -0.6151525943086211, 'ann_sharpe': -19.738960623449575, 'max_drawdown_pct': -0.5919743187897757, 'num_executed': 30, 'win_rate': 0.13333333333333333, 'avg_pnl': -0.2050508647695445, 'profit_factor': 0.06586277001340406, 'avg_pnl_ci_l': -0.2625191344998396, 'avg_pnl_ci_u': -0.1418112141814555}",COMPLETE
10,-20.042350862982648,2025-08-20 19:39:15.133660,2025-08-20 19:45:12.744828,0 days 00:05:57.611168,2.5,72,128,3,4,0.95,0.01,0.002,False,True,"{'final_capital': 992.9271767435398, 'total_return_pct': -0.7072823256460192, 'ann_sharpe': -20.042350862982648, 'max_drawdown_pct': -0.6851659701035757, 'num_executed': 31, 'win_rate': 0.12903225806451613, 'avg_pnl': -0.22815558891806634, 'profit_factor': 0.04792512783783916, 'avg_pnl_ci_l': -0.2904733186611616, 'avg_pnl_ci_u': -0.1652991962220308}",COMPLETE
18,-20.042350862982648,2025-08-20 20:25:03.813610,2025-08-20 20:30:41.940221,0 days 00:05:38.126611,2.5,72,128,3,4,0.85,0.01,0.002,False,True,"{'final_capital': 992.9271767435398, 'total_return_pct': -0.7072823256460192, 'ann_sharpe': -20.042350862982648, 'max_drawdown_pct': -0.6851659701035757, 'num_executed': 31, 'win_rate': 0.12903225806451613, 'avg_pnl': -0.22815558891806634, 'profit_factor': 0.04792512783783916, 'avg_pnl_ci_l': -0.29985843971088166, 'avg_pnl_ci_u': -0.1593292006759161}",COMPLETE
15,-20.042350862982648,2025-08-20 20:08:24.090099,2025-08-20 20:14:26.747741,0 days 00:06:02.657642,2.5,72,128,3,4,0.95,0.01,0.002,False,False,"{'final_capital': 992.9271767435398, 'total_return_pct': -0.7072823256460192, 'ann_sharpe': -20.042350862982648, 'max_drawdown_pct': -0.6851659701035757, 'num_executed': 31, 'win_rate': 0.12903225806451613, 'avg_pnl': -0.22815558891806634, 'profit_factor': 0.04792512783783916, 'avg_pnl_ci_l': -0.2901920030116174, 'avg_pnl_ci_u': -0.14538512776405257}",COMPLETE
78,-20.042350862982648,2025-08-21 02:09:12.178005,2025-08-21 02:15:19.753157,0 days 00:06:07.575152,2.5,72,128,3,4,0.95,0.01,0.002,False,False,"{'final_capital': 992.9271767435398, 'total_return_pct': -0.7072823256460192, 'ann_sharpe': -20.042350862982648, 'max_drawdown_pct': -0.6851659701035757, 'num_executed': 31, 'win_rate': 0.12903225806451613, 'avg_pnl': -0.22815558891806634, 'profit_factor': 0.04792512783783916, 'avg_pnl_ci_l': -0.2897300923944408, 'avg_pnl_ci_u': -0.16398520485116222}",COMPLETE
