decision_time,signal_time,signal,side,entry_time,entry_price,exit_time,exit_price,units,allocation_usd,gross_pnl,fee_usd,slippage_usd,net_pnl,capital_after,median_pred,low_pred,high_pred,median_ret,low_ret,high_ret,p_pos,predict_on_returns,exit_reason
2025-08-12 23:00:00,2025-08-05 23:00:00,HOLD,NONE,,,,,0.0,0.0,0.0,0.0,0.0,0.0,975.4733343904052,116499.37274558077,116499.37274558077,116499.37274558077,-0.030255421728948472,-0.030255421728948472,-0.030255421728948472,0.0,False,none
2025-08-13 00:00:00,2025-08-05 23:00:00,HOLD,NONE,,,,,0.0,0.0,0.0,0.0,0.0,0.0,975.4733343904052,113856.68788441805,113856.68788441805,113856.68788441805,-0.048921109825759014,-0.048921109825759014,-0.048921109825759014,0.0,False,none
2025-08-13 01:00:00,2025-08-05 23:00:00,HOLD,NONE,,,,,0.0,0.0,0.0,0.0,0.0,0.0,975.4733343904052,116995.7938562628,116995.7938562628,116995.7938562628,-0.020779276331017664,-0.020779276331017664,-0.020779276331017664,0.0,False,none
2025-08-13 02:00:00,2025-08-05 23:00:00,STRONG_SELL,SHORT,2025-08-13 03:00:00,119549.37,2025-08-13 07:00:00,119580.4,0.0007343627163835031,87.79260009513646,-0.022787275089379246,0.17560798746536233,0.08780399373268116,-0.2861992562874227,975.1871351341177,113945.89352074519,113945.89352074519,113945.89352074519,-0.04687165209866692,-0.04687165209866692,-0.04687165209866692,0.0,False,time_exit
2025-08-13 03:00:00,2025-08-05 23:00:00,HOLD,NONE,,,,,0.0,0.0,0.0,0.0,0.0,0.0,975.1871351341177,113848.04202883234,113848.04202883234,113848.04202883234,-0.047153274130286714,-0.047153274130286714,-0.047153274130286714,0.0,False,none
2025-08-13 04:00:00,2025-08-05 23:00:00,HOLD,NONE,,,,,0.0,0.0,0.0,0.0,0.0,0.0,975.1871351341177,114072.94878528427,114072.94878528427,114072.94878528427,-0.04409486549434003,-0.04409486549434003,-0.04409486549434003,0.0,False,none
2025-08-13 05:00:00,2025-08-05 23:00:00,HOLD,NONE,,,,,0.0,0.0,0.0,0.0,0.0,0.0,975.1871351341177,115764.06400303643,115764.06400303643,115764.06400303643,-0.027770276605968876,-0.027770276605968876,-0.027770276605968876,0.0,False,none
2025-08-13 06:00:00,2025-08-05 23:00:00,STRONG_SELL,SHORT,2025-08-13 07:00:00,119410.01,2025-08-13 10:00:00,120357.87428571428,0.0007350040600622225,87.76684216207059,-0.6966840983879773,0.17623036842252915,0.08811518421126457,-0.9610296510217711,974.2261054830959,114133.67841815762,114133.67841815762,114133.67841815762,-0.044186677330002505,-0.044186677330002505,-0.044186677330002505,0.0,False,trailing_sl
2025-08-13 07:00:00,2025-08-05 23:00:00,HOLD,NONE,,,,,0.0,0.0,0.0,0.0,0.0,0.0,974.2261054830959,113774.67769901836,113774.67769901836,113774.67769901836,-0.04855078508670014,-0.04855078508670014,-0.04855078508670014,0.0,False,none
2025-08-13 08:00:00,2025-08-05 23:00:00,HOLD,NONE,,,,,0.0,0.0,0.0,0.0,0.0,0.0,974.2261054830959,113774.67769901836,113774.67769901836,113774.67769901836,-0.05222907191310195,-0.05222907191310195,-0.05222907191310195,0.0,False,none
2025-08-13 09:00:00,2025-08-05 23:00:00,STRONG_SELL,SHORT,2025-08-13 10:00:00,120116.02,2025-08-13 13:00:00,120994.16,0.0007299638257534559,87.68034949347863,-0.6410104339471393,0.1760017094209044,0.0880008547104522,-0.9050129980784959,973.3210924850174,116995.7938562628,116995.7938562628,116995.7938562628,-0.02597676932466799,-0.02597676932466799,-0.02597676932466799,0.0,False,trailing_sl
2025-08-13 10:00:00,2025-08-05 23:00:00,HOLD,NONE,,,,,0.0,0.0,0.0,0.0,0.0,0.0,973.3210924850174,114125.32174043257,114125.32174043257,114125.32174043257,-0.052870454285349144,-0.052870454285349144,-0.052870454285349144,0.0,False,none
2025-08-13 11:00:00,2025-08-05 23:00:00,HOLD,NONE,,,,,0.0,0.0,0.0,0.0,0.0,0.0,973.3210924850174,115164.22170959975,115164.22170959975,115164.22170959975,-0.044838433330369,-0.044838433330369,-0.044838433330369,0.0,False,none
